R_m,rho_needed_conserv,rho_needed_realist,rho_needed_optimist,rho_avail_conserv,rho_avail_realist,rho_avail_optimist,gap_conserv,gap_realist,gap_optimist
1.4201e+02,2.1462e+55,2.1462e+55,2.1462e+55,5.7296e+04,3.1831e+07,3.1831e+10,3.7458e+50,6.7425e+47,6.7425e+44
1.4532e+02,2.0494e+55,2.0494e+55,2.0494e+55,5.7296e+04,3.1831e+07,3.1831e+10,3.5769e+50,6.4384e+47,6.4384e+44
1.4871e+02,1.9570e+55,1.9570e+55,1.9570e+55,5.7296e+04,3.1831e+07,3.1831e+10,3.4156e+50,6.1481e+47,6.1481e+44
1.5218e+02,1.8687e+55,1.8687e+55,1.8687e+55,5.7296e+04,3.1831e+07,3.1831e+10,3.2616e+50,5.8708e+47,5.8708e+44
1.5573e+02,1.7845e+55,1.7845e+55,1.7845e+55,5.7296e+04,3.1831e+07,3.1831e+10,3.1145e+50,5.6061e+47,5.6061e+44
1.5937e+02,1.7040e+55,1.7040e+55,1.7040e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.9740e+50,5.3533e+47,5.3533e+44
1.6309e+02,1.6272e+55,1.6272e+55,1.6272e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.8399e+50,5.1119e+47,5.1119e+44
1.6690e+02,1.5538e+55,1.5538e+55,1.5538e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.7119e+50,4.8813e+47,4.8813e+44
1.7079e+02,1.4837e+55,1.4837e+55,1.4837e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.5896e+50,4.6612e+47,4.6612e+44
1.7478e+02,1.4168e+55,1.4168e+55,1.4168e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.4728e+50,4.4510e+47,4.4510e+44
1.7886e+02,1.3529e+55,1.3529e+55,1.3529e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.3613e+50,4.2503e+47,4.2503e+44
1.8303e+02,1.2919e+55,1.2919e+55,1.2919e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.2548e+50,4.0586e+47,4.0586e+44
1.8730e+02,1.2336e+55,1.2336e+55,1.2336e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.1531e+50,3.8756e+47,3.8756e+44
1.9167e+02,1.1780e+55,1.1780e+55,1.1780e+55,5.7296e+04,3.1831e+07,3.1831e+10,2.0560e+50,3.7008e+47,3.7008e+44
1.9615e+02,1.1249e+55,1.1249e+55,1.1249e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.9633e+50,3.5339e+47,3.5339e+44
2.0073e+02,1.0742e+55,1.0742e+55,1.0742e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.8748e+50,3.3746e+47,3.3746e+44
2.0541e+02,1.0257e+55,1.0257e+55,1.0257e+55,5.7296e+04,3.1831e+07,3.1831e+10,1.7902e+50,3.2224e+47,3.2224e+44
2.1021e+02,9.7946e+54,9.7946e+54,9.7946e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.7095e+50,3.0771e+47,3.0771e+44
2.1511e+02,9.3529e+54,9.3529e+54,9.3529e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.6324e+50,2.9383e+47,2.9383e+44
2.2013e+02,8.9312e+54,8.9312e+54,8.9312e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.5588e+50,2.8058e+47,2.8058e+44
2.2527e+02,8.5284e+54,8.5284e+54,8.5284e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.4885e+50,2.6793e+47,2.6793e+44
2.3053e+02,8.1438e+54,8.1438e+54,8.1438e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.4214e+50,2.5585e+47,2.5585e+44
2.3591e+02,7.7766e+54,7.7766e+54,7.7766e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.3573e+50,2.4431e+47,2.4431e+44
2.4142e+02,7.4259e+54,7.4259e+54,7.4259e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.2961e+50,2.3329e+47,2.3329e+44
2.4705e+02,7.0910e+54,7.0910e+54,7.0910e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.2376e+50,2.2277e+47,2.2277e+44
2.5282e+02,6.7712e+54,6.7712e+54,6.7712e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.1818e+50,2.1272e+47,2.1272e+44
2.5872e+02,6.4659e+54,6.4659e+54,6.4659e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.1285e+50,2.0313e+47,2.0313e+44
2.6476e+02,6.1743e+54,6.1743e+54,6.1743e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.0776e+50,1.9397e+47,1.9397e+44
2.7094e+02,5.8959e+54,5.8959e+54,5.8959e+54,5.7296e+04,3.1831e+07,3.1831e+10,1.0290e+50,1.8522e+47,1.8522e+44
2.7726e+02,5.6300e+54,5.6300e+54,5.6300e+54,5.7296e+04,3.1831e+07,3.1831e+10,9.8262e+49,1.7687e+47,1.7687e+44
2.8373e+02,5.3761e+54,5.3761e+54,5.3761e+54,5.7296e+04,3.1831e+07,3.1831e+10,9.3831e+49,1.6890e+47,1.6890e+44
2.9035e+02,5.1337e+54,5.1337e+54,5.1337e+54,5.7296e+04,3.1831e+07,3.1831e+10,8.9599e+49,1.6128e+47,1.6128e+44
2.9713e+02,4.9022e+54,4.9022e+54,4.9022e+54,5.7296e+04,3.1831e+07,3.1831e+10,8.5559e+49,1.5401e+47,1.5401e+44
3.0406e+02,4.6811e+54,4.6811e+54,4.6811e+54,5.7296e+04,3.1831e+07,3.1831e+10,8.1700e+49,1.4706e+47,1.4706e+44
3.1116e+02,4.4700e+54,4.4700e+54,4.4700e+54,5.7296e+04,3.1831e+07,3.1831e+10,7.8016e+49,1.4043e+47,1.4043e+44
3.1842e+02,4.2684e+54,4.2684e+54,4.2684e+54,5.7296e+04,3.1831e+07,3.1831e+10,7.4498e+49,1.3410e+47,1.3410e+44
3.2586e+02,4.0759e+54,4.0759e+54,4.0759e+54,5.7296e+04,3.1831e+07,3.1831e+10,7.1138e+49,1.2805e+47,1.2805e+44
3.3346e+02,3.8921e+54,3.8921e+54,3.8921e+54,5.7296e+04,3.1831e+07,3.1831e+10,6.7930e+49,1.2227e+47,1.2227e+44
3.4124e+02,3.7166e+54,3.7166e+54,3.7166e+54,5.7296e+04,3.1831e+07,3.1831e+10,6.4867e+49,1.1676e+47,1.1676e+44
3.4921e+02,3.5490e+54,3.5490e+54,3.5490e+54,5.7296e+04,3.1831e+07,3.1831e+10,6.1942e+49,1.1150e+47,1.1150e+44
