Zugnummer;Zug;Ergebnis
150;Bh5+;1-0
151;Kf4;1-0
152;Bf3;1-0
153;Kxf3;1-0
154;Kd4;1-0
155;Kf4;1-0
156;Kd3;1-0
157;Be5;1-0
158;Kc2;1-0
159;Ke4;1-0
160;Kb1;1-0
161;g6;1-0
162;hxg6;1-0
163;Kd5;1-0
164;Kc1;1-0
165;h7;1-0
166;Kc2;1-0
167;Kd4;1-0
168;g5;1-0
169;h8=Q;1-0
170;Kb1;1-0
171;Qh2;1-0
172;g4;1-0
173;Kd3;1-0
174;g3;1-0
175;Qb2#;1-0
1;e4;1-0
2;c5;1-0
3;Nf3;1-0
4;f6;1-0
5;d4;1-0
6;cxd4;1-0
7;Nxd4;1-0
8;Nc6;1-0
9;Be3;1-0
10;e6;1-0
11;Nc3;1-0
12;Nxd4;1-0
13;Qe2;1-0
14;Nh6;1-0
15;Bxd4;1-0
16;d5;1-0
17;O-O-O;1-0
18;Qc7;1-0
19;exd5;1-0
20;e5;1-0
21;Nb5;1-0
22;Bd7;1-0
23;Nxc7+;1-0
24;Kd8;1-0
25;Ne6+;1-0
26;Ke8;1-0
27;Bc5;1-0
28;Kf7;1-0
29;Bxf8;1-0
30;Rhxf8;1-0
31;Nxg7;1-0
32;Kxg7;1-0
33;Qe4;1-0
34;Bf5;1-0
35;Qb4;1-0
36;Rfe8;1-0
37;a3;1-0
38;Re7;1-0
39;Qxe7+;1-0
40;Kg6;1-0
41;Bd3;1-0
42;e4;1-0
43;Qxh7+;1-0
44;Kxh7;1-0
45;Bb5;1-0
46;Re8;1-0
47;Bxe8;1-0
48;Ng4;1-0
49;a4;1-0
50;Nxf2;1-0
51;Bc6;1-0
52;Kh8;1-0
53;Rhf1;1-0
54;Nxd1;1-0
55;Rxf5;1-0
56;Ne3;1-0
57;d6;1-0
58;Nxf5;1-0
59;d7;1-0
60;Nh4;1-0
61;d8=Q+;1-0
62;Kg7;1-0
63;Qe7+;1-0
64;Kg6;1-0
65;Bb5;1-0
66;Kf5;1-0
67;Bd7+;1-0
68;Kg6;1-0
69;Qxe4+;1-0
70;f5;1-0
71;Qxh4;1-0
72;f4;1-0
73;Qf6+;1-0
74;Kxf6;1-0
75;Bc8;1-0
76;Ke7;1-0
77;Bxb7;1-0
78;Ke6;1-0
79;c3;1-0
80;Kd6;1-0
81;Kd2;1-0
82;Kc5;1-0
83;Bc6;1-0
84;Kxc6;1-0
85;h4;1-0
86;Kd7;1-0
87;h5;1-0
88;Kd6;1-0
89;h6;1-0
90;Ke5;1-0
91;h7;1-0
92;Kd6;1-0
93;Kd3;1-0
94;Kc7;1-0
95;h8=Q;1-0
96;Kb7;1-0
97;Qg8;1-0
98;Kc7;1-0
99;Ke4;1-0
100;f3;1-0
101;gxf3;1-0
102;a6;1-0
103;Qe6;1-0
104;Kb8;1-0
105;Qd7;1-0
106;a5;1-0
107;Kd5;1-0
108;Ka8;1-0
109;Kc6;1-0
110;Kb8;1-0
111;Qb7#;1-0
1;e4;1-0
2;c5;1-0
3;f3;1-0
4;Nc6;1-0
5;Bb5;1-0
6;h6;1-0
7;Bxc6;1-0
8;bxc6;1-0
9;f4;1-0
10;e5;1-0
11;d3;1-0
12;exf4;1-0
13;Bxf4;1-0
14;Nf6;1-0
15;Nc3;1-0
16;Nd5;1-0
17;exd5;1-0
18;d6;1-0
19;Qe2+;1-0
20;Be7;1-0
21;Nf3;1-0
22;O-O;1-0
23;dxc6;1-0
24;Bh4+;1-0
25;Nxh4;1-0
26;Re8;1-0
27;Ne4;1-0
28;d5;1-0
29;O-O;1-0
30;dxe4;1-0
31;Qf2;1-0
32;exd3;1-0
33;cxd3;1-0
34;Qd5;1-0
35;Bd2;1-0
36;c4;1-0
37;dxc4;1-0
38;Qxc4;1-0
39;Rac1;1-0
40;Qd5;1-0
41;Rc5;1-0
42;Qxa2;1-0
43;Bc3;1-0
44;f6;1-0
45;Nf5;1-0
46;Bxf5;1-0
47;Qxf5;1-0
48;Rac8;1-0
