Zugnummer;Zug;Ergebnis
32;cxd4;0-1
33;Rxd4+;0-1
34;Nd6;0-1
35;b4;0-1
36;Kc7;0-1
37;Ra6;0-1
38;Nxb5;0-1
39;Ra4;0-1
40;Nxd4;0-1
41;cxd4;0-1
42;Nd3;0-1
43;Ra2;0-1
44;b5;0-1
45;Be3;0-1
46;Nxb4;0-1
47;Ra1;0-1
48;a5;0-1
49;Rb1;0-1
50;Nd5;0-1
51;Kf1;0-1
52;a4;0-1
53;h4;0-1
54;Kd7;0-1
55;g4;0-1
56;Rc8;0-1
57;Ke2;0-1
58;Bd6;0-1
59;g5;0-1
60;f5;0-1
61;h5;0-1
62;Rc2+;0-1
63;Kf3;0-1
64;Re8;0-1
65;g6;0-1
66;h6;0-1
67;Rg1;0-1
68;Rxb2;0-1
69;Rf1;0-1
70;Rb3;0-1
71;Kg2;0-1
72;Rb2;0-1
73;Bc1;0-1
74;Rb3;0-1
75;Bxh6;0-1
76;gxh6;0-1
77;Rc1;0-1
78;a3;0-1
79;g7;0-1
80;a2;0-1
81;Ra1;0-1
82;Rb1;0-1
83;Rxa2;0-1
84;Nf4+;0-1
85;Kg3;0-1
86;Ne2+;0-1
87;Kh3;0-1
88;Rh1+;0-1
89;Kg2;0-1
90;Rg1+;0-1
91;Kh3;0-1
92;Kc6;0-1
93;Ra4;0-1
94;Nf4+;0-1
95;Kh2;0-1
96;Rg2+;0-1
97;Kh1;0-1
98;Re1#;0-1
1;e4;1-0
2;c5;1-0
3;c3;1-0
4;Nf6;1-0
5;Bd3;1-0
6;Nc6;1-0
7;Nf3;1-0
8;d5;1-0
9;e5;1-0
10;c4;1-0
11;Bc2;1-0
12;Nd7;1-0
13;e6;1-0
14;Nc5;1-0
15;exf7+;1-0
16;Kxf7;1-0
17;b4;1-0
18;Nd3+;1-0
19;Bxd3;1-0
20;cxd3;1-0
21;b5;1-0
22;Na5;1-0
23;Ne5+;1-0
24;Kg8;1-0
25;Qf3;1-0
26;b6;1-0
27;Qf7#;1-0
1;Nc3;1-0
2;d5;1-0
3;d4;1-0
4;Nf6;1-0
5;e3;1-0
6;e6;1-0
7;Nf3;1-0
8;c5;1-0
9;dxc5;1-0
10;Nbd7;1-0
11;a3;1-0
12;Bxc5;1-0
13;Bd3;1-0
14;Be7;1-0
15;O-O;1-0
16;O-O;1-0
17;Re1;1-0
18;e5;1-0
19;e4;1-0
20;dxe4;1-0
21;Nxe4;1-0
22;Nxe4;1-0
23;Bxe4;1-0
24;Nc5;1-0
25;Bd5;1-0
26;e4;1-0
27;Bd2;1-0
28;Qxd5;1-0
29;Rc1;1-0
30;Qf5;1-0
31;Bc3;1-0
32;Ne6;1-0
33;Nd2;1-0
34;Bd8;1-0
35;Nxe4;1-0
36;Bb6;1-0
37;Qd6;1-0
38;Rd8;1-0
39;Qg3;1-0
40;Qg6;1-0
41;Qxg6;1-0
42;Rf8;1-0
43;Nf6+;1-0
44;Kh8;1-0
45;Nxh7;1-0
46;fxg6;1-0
47;Nf6;1-0
48;Nc7;1-0
49;Ne4;1-0
50;Bd7;1-0
51;Rf1;1-0
52;Bc6;1-0
53;Rce1;1-0
54;Kg8;1-0
55;g3;1-0
56;Nb5;1-0
57;Be5;1-0
58;Rf5;1-0
59;Bd4;1-0
60;Nxd4;1-0
61;Kh1;1-0
62;Re8;1-0
63;h4;1-0
64;Nxc2;1-0
65;Re2;1-0
66;Bxe4+;1-0
67;Kh2;1-0
68;Ne3;1-0
69;Rc1;1-0
70;Ng4+;1-0
71;Kh3;1-0
72;Nxf2+;1-0
73;Kh2;1-0
74;Ng4+;1-0
75;Kh3;1-0
76;Nf6;1-0
77;a4;1-0
78;Kh7;1-0
79;a5;1-0
80;Bf2;1-0
81;a6;1-0
82;bxa6;1-0
83;g4;1-0
84;Rf3+;1-0
85;Kg2;1-0
86;Bd4;1-0
87;h5;1-0
88;Rf2+;1-0
89;Kh3;1-0
90;Rg2;1-0
91;hxg6+;1-0
92;Kxg6;1-0
93;Rxe4;1-0
94;Rxe4;1-0
95;Kxg2;1-0
96;Bf2;1-0
97;Kxf2;1-0
98;Rf4+;1-0
99;Ke3;1-0
100;a5;1-0
101;Kxf4;1-0
102;Nd7;1-0
103;Rc3;1-0
104;Nb6;1-0
105;Kg3;1-0
106;Kh6;1-0
107;Rc7;1-0
108;Kg6;1-0
109;b3;1-0
110;Nd5;1-0
111;Rxa7;1-0
112;Nf4;1-0
113;Kxf4;1-0
114;Kf6;1-0
115;Ra6+;1-0
116;Ke7;1-0
117;Kg5;1-0
118;a4;1-0
119;Rxa4;1-0
120;Kd7;1-0
121;Kg6;1-0
122;Ke6;1-0
123;Kxg7;1-0
124;Ke7;1-0
125;g5;1-0
126;Ke6;1-0
127;g6;1-0
128;Kf5;1-0
129;Kh6;1-0
130;Ke5;1-0
131;g7;1-0
132;Kf6;1-0
133;g8=Q;1-0
134;Ke5;1-0
135;Qd8;1-0
136;Ke6;1-0
137;b4;1-0
138;Kf5;1-0
139;Ra3;1-0
140;Ke6;1-0
141;Rf3;1-0
142;Ke5;1-0
143;Re3+;1-0
144;Kf5;1-0
145;Qg5#;1-0
1;e4;1-0
2;c5;1-0
3;Nf3;1-0
4;Nc6;1-0
5;Bb5;1-0
6;g6;1-0
7;O-O;1-0
8;Bg7;1-0
9;c3;1-0
10;e5;1-0
11;d4;1-0
12;exd4;1-0
13;cxd4;1-0
14;Nxd4;1-0
15;Nxd4;1-0
16;cxd4;1-0
17;Bf4;1-0
18;Ne7;1-0
19;Nd2;1-0
20;Rf8;1-0
21;Nc4;1-0
22;Be5;1-0
23;Bxe5;1-0
24;Nc6;1-0
25;a3;1-0
26;Nxe5;1-0
27;Nxe5;1-0
28;Ke7;1-0
29;Qxd4;1-0
30;Qb6;1-0
31;Qxb6;1-0
32;axb6;1-0
33;Nc4;1-0
34;Ke6;1-0
35;Nxb6;1-0
36;d6;1-0
37;Nxa8;1-0
38;f6;1-0
39;Rac1;1-0
40;f5;1-0
41;Nb6;1-0
42;fxe4;1-0
43;Rfd1;1-0
44;Rf5;1-0
45;Bc4+;1-0
46;Kf6;1-0
47;Nxc8;1-0
48;g5;1-0
49;Be2;1-0
50;Rb5;1-0
51;Rxd6+;1-0
52;Ke5;1-0
53;Rcc6;1-0
54;bxc6;1-0
55;Bxb5;1-0
56;cxb5;1-0
57;Kf1;1-0
58;Kf4;1-0
59;Ke2;1-0
60;h6;1-0
61;Rd4;1-0
62;h5;1-0
63;Nd6;1-0
64;Ke5;1-0
65;Nxb5;1-0
66;e3;1-0
67;Kxe3;1-0
68;Ke6;1-0
69;Nc3;1-0
70;g4;1-0
71;Rc4;1-0
72;Kd6;1-0
73;g3;1-0
74;h4;1-0
75;Kd3;1-0
76;Ke6;1-0
77;a4;1-0
78;hxg3;1-0
79;hxg3;1-0
80;Kf7;1-0
81;a5;1-0
82;Ke8;1-0
83;Rc7;1-0
84;Kf8;1-0
85;Rb7;1-0
86;Kg8;1-0
87;a6;1-0
88;Kh8;1-0
89;Rb8+;1-0
90;Kg7;1-0
91;Rb7+;1-0
92;Kf6;1-0
93;a7;1-0
94;Kf5;1-0
95;Kd4;1-0
96;Kg5;1-0
97;a8=Q;1-0
98;Kh6;1-0
99;Qa6+;1-0
100;Kg5;1-0
101;Rb5#;1-0
1;d4;0-1
2;Nf6;0-1
3;c4;0-1
4;d5;0-1
5;e4;0-1
6;dxe4;0-1
7;Nc3;0-1
8;e5;0-1
9;Nh3;0-1
10;exd4;0-1
11;Ng5;0-1
12;Bb4;0-1
13;a3;0-1
14;Bxc3+;0-1
15;bxc3;0-1
16;h6;0-1
17;cxd4;0-1
18;hxg5;0-1
19;Bxg5;0-1
20;Qd6;0-1
21;Be2;0-1
22;Nc6;0-1
23;d5;0-1
24;Ne5;0-1
25;Qb3;0-1
26;O-O;0-1
27;Qg3;0-1
28;Qc6;0-1
29;dxc6;0-1
30;Nxc6;0-1
31;Bxf6;0-1
32;Bg4;0-1
33;Qxg4;0-1
34;g6;0-1
35;Bd8;0-1
36;Raxd8;0-1
37;O-O;0-1
38;Nd4;0-1
39;Kh1;0-1
40;c5;0-1
41;Rae1;0-1
42;Rfe8;0-1
43;Qf4;0-1
44;Kg7;0-1
45;g4;0-1
46;b6;0-1
47;Qxe4;0-1
48;Rxe4;0-1
49;Ra1;0-1
50;Rxe2;0-1
51;Kg2;0-1
52;Rb2;0-1
53;Rad1;0-1
54;Rxf2+;0-1
55;Kxf2;0-1
56;Rh8;0-1
57;Kg3;0-1
58;Kg8;0-1
59;h3;0-1
60;f5;0-1
61;Rfe1;0-1
62;Kf7;0-1
63;g5;0-1
64;a6;0-1
65;Re8;0-1
66;Rxe8;0-1
67;h4;0-1
68;Re3+;0-1
69;Kh2;0-1
70;Kf8;0-1
71;Ra1;0-1
72;Rxa3;0-1
73;Rxa3;0-1
74;b5;0-1
75;Kh3;0-1
76;bxc4;0-1
77;Rc3;0-1
78;Ne6;0-1
79;Rxc4;0-1
80;Ke7;0-1
81;Ra4;0-1
82;Kd6;0-1
83;Kg2;0-1
84;f4;0-1
85;Kf2;0-1
86;Kd5;0-1
87;Kg2;0-1
88;Nc7;0-1
89;Rxf4;0-1
90;c4;0-1
91;Kf2;0-1
92;Ne6;0-1
93;Rf6;0-1
94;a5;0-1
95;Kf3;0-1
96;a4;0-1
97;Ke3;0-1
98;Nxg5;0-1
99;hxg5;0-1
100;Ke5;0-1
101;Rd6;0-1
102;Kxd6;0-1
103;Kf2;0-1
104;a3;0-1
105;Ke3;0-1
106;Kd5;0-1
107;Ke2;0-1
108;a2;0-1
109;Kd2;0-1
110;Kd4;0-1
111;Kc2;0-1
112;a1=Q;0-1
113;Kd2;0-1
114;Qb2+;0-1
115;Ke1;0-1
116;Ke3;0-1
117;Kd1;0-1
118;Qd2#;0-1
1;e4;0-1
2;e5;0-1
3;Nf3;0-1
4;Nc6;0-1
5;Bb5;0-1
6;a6;0-1
7;Bf1;0-1
8;d5;0-1
9;d3;0-1
10;Nf6;0-1
11;Nc3;0-1
12;Bb4;0-1
13;exd5;0-1
14;Nxd5;0-1
15;Bd2;0-1
16;Be6;0-1
17;Be2;0-1
18;Nf4;0-1
19;Bxf4;0-1
20;exf4;0-1
21;a3;0-1
22;Bc5;0-1
23;Qd2;0-1
24;Qd7;0-1
25;Qxf4;0-1
26;Rg8;0-1
27;Rg1;0-1
28;O-O-O;0-1
29;O-O-O;0-1
30;h6;0-1
31;d4;0-1
32;g5;0-1
33;Qe4;0-1
34;f5;0-1
35;Qe3;0-1
36;Ba7;0-1
37;Ne5;0-1
38;Nxe5;0-1
39;Qxe5;0-1
40;Bf7;0-1
41;Bd3;0-1
42;Qxd4;0-1
43;Bxf5+;0-1
44;Qd7;0-1
45;Rd4;0-1
46;Bxd4;0-1
47;Bxd7+;0-1
48;Rxd7;0-1
49;Qf5;0-1
50;Bg6;0-1
51;f4;0-1
52;Bxf5;0-1
53;Re1;0-1
54;gxf4;0-1
55;g4;0-1
56;Rxg4;0-1
57;Ne2;0-1
58;Be3+;0-1
59;Kb1;0-1
60;Rd2;0-1
61;Nc3;0-1
62;Rg1;0-1
63;Rd1;0-1
64;Rgxd1+;0-1
65;Nxd1;0-1
66;Bd3;0-1
67;b4;0-1
68;Bh7;0-1
69;Nxe3;0-1
70;fxe3;0-1
71;Kb2;0-1
72;e2;0-1
73;h4;0-1
74;e1=Q;0-1
75;Kc3;0-1
76;c6;0-1
77;a4;0-1
78;Bxc2;0-1
79;b5;0-1
80;Rd3+;0-1
81;Kxc2;0-1
82;Rc3+;0-1
83;Kb2;0-1
84;Qc1+;0-1
85;Ka2;0-1
86;Rg3;0-1
87;h5;0-1
88;Ra3#;0-1
1;e4;1-0
2;c5;1-0
3;c3;1-0
4;Qc7;1-0
5;d4;1-0
6;d6;1-0
7;Nf3;1-0
8;g6;1-0
9;Ba6;1-0
10;Nxa6;1-0
11;O-O;1-0
12;Bg7;1-0
13;Re1;1-0
14;b5;1-0
15;Na3;1-0
16;Qb7;1-0
17;c4;1-0
18;cxd4;1-0
19;Nc2;1-0
20;d3;1-0
21;Ncd4;1-0
22;bxc4;1-0
23;e5;1-0
24;Rb8;1-0
25;exd6;1-0
26;Nb4;1-0
27;Bg5;1-0
28;Nc6;1-0
29;Nxc6;1-0
30;Bd7;1-0
31;Nxb8;1-0
32;Qxb8;1-0
33;Rc1;1-0
34;Qb5;1-0
35;Qd2;1-0
36;a5;1-0
37;b3;1-0
38;cxb3;1-0
39;Re3;1-0
40;b2;1-0
41;Rb1;1-0
42;Bf5;1-0
43;g4;1-0
44;Bd4;1-0
45;Nxd4;1-0
46;Qb4;1-0
47;Qxb2;1-0
48;Qb7;1-0
49;Qxb7;1-0
50;Kf8;1-0
51;Nxf5;1-0
52;gxf5;1-0
53;Bh6+;1-0
54;Nxh6;1-0
55;Qxe7+;1-0
56;Kg8;1-0
57;Qg5+;1-0
58;Kf8;1-0
59;Rb8#;1-0
1;e4;0-1
2;e5;0-1
3;Nf3;0-1
4;Nc6;0-1
5;Bb5;0-1
6;Nf6;0-1
7;d3;0-1
8;Bc5;0-1
9;c3;0-1
10;O-O;0-1
11;Rg1;0-1
12;d5;0-1
13;a4;0-1
14;dxe4;0-1
15;b4;0-1
16;exd3;0-1
17;bxc5;0-1
18;Na5;0-1
19;Bxd3;0-1
20;Be6;0-1
21;Bc2;0-1
22;b5;0-1
23;axb5;0-1
24;Nc4;0-1
25;Ra5;0-1
26;Nxa5;0-1
27;Nbd2;0-1
28;a6;0-1
29;bxa6;0-1
30;Re8;0-1
31;Ng5;0-1
32;Bd5;0-1
33;f3;0-1
34;h6;0-1
35;Nge4;0-1
36;Bxe4;0-1
37;Nxe4;0-1
38;Nxe4;0-1
39;Bxe4;0-1
40;Qxd1+;0-1
41;Kxd1;0-1
42;Rxa6;0-1
43;Kc2;0-1
44;f5;0-1
45;Kb2;0-1
46;Rb8+;0-1
47;Kc2;0-1
48;fxe4;0-1
49;Ba3;0-1
50;Nc6;0-1
51;Bb4;0-1
52;exf3;0-1
53;gxf3;0-1
54;Nxb4+;0-1
55;cxb4;0-1
56;Rxb4;0-1
57;Re1;0-1
58;Ra3;0-1
59;Rxe5;0-1
60;Rh4;0-1
61;Rg5;0-1
62;Rxh2+;0-1
63;Rg2;0-1
64;Rxg2+;0-1
65;Kb1;0-1
66;Rxf3;0-1
67;c6;0-1
68;Rf1#;0-1
1;g4;0-1
2;Nf6;0-1
3;f3;0-1
4;d5;0-1
5;d4;0-1
6;c5;0-1
7;e3;0-1
8;Ne4;0-1
9;b3;0-1
10;Qa5+;0-1
11;c3;0-1
12;Nd6;0-1
13;Ba3;0-1
14;Nc6;0-1
15;dxc5;0-1
16;h5;0-1
17;cxd6;0-1
18;hxg4;0-1
19;fxg4;0-1
20;exd6;0-1
21;Bg2;0-1
22;Bd7;0-1
23;Nf3;0-1
24;Bxg4;0-1
25;Qxd5;0-1
26;Qxd5;0-1
27;Nbd2;0-1
28;Bc8;0-1
29;O-O;0-1
30;Bh3;0-1
31;Bxh3;0-1
32;Rxh3;0-1
33;Rf2;0-1
34;Rh6;0-1
35;Raf1;0-1
36;O-O-O;0-1
37;Ne1;0-1
38;Qh5;0-1
39;Ne4;0-1
40;Rg6+;0-1
41;Ng2;0-1
42;d5;0-1
43;Rf5;0-1
44;Rxg2+;0-1
45;Kxg2;0-1
46;Re8;0-1
47;Rxh5;0-1
48;Bxa3;0-1
49;Re5;0-1
50;Nxe5;0-1
51;Ng3;0-1
52;Be7;0-1
53;Rd1;0-1
54;g6;0-1
55;b4;0-1
56;Nc4;0-1
57;Ne2;0-1
58;Nxe3+;0-1
59;Kf3;0-1
60;Ng2;0-1
61;Kxg2;0-1
62;Bxb4;0-1
63;Kh1;0-1
64;Rxe2;0-1
65;a3;0-1
66;Bxa3;0-1
67;Rxd5;0-1
68;Be7;0-1
69;Re5;0-1
70;Kd8;0-1
71;Re4;0-1
72;Rxe4;0-1
73;Kg2;0-1
74;a5;0-1
75;h3;0-1
76;Re3;0-1
77;Kf2;0-1
78;Rxh3;0-1
79;c4;0-1
80;a4;0-1
81;Kf1;0-1
82;Rh2;0-1
83;Kg1;0-1
84;Rc2;0-1
85;c5;0-1
86;a3;0-1
87;c6;0-1
88;bxc6;0-1
89;Kf1;0-1
90;a2;0-1
91;Ke1;0-1
92;a1=Q#;0-1
1;e4;1-0
2;c5;1-0
3;Nf3;1-0
4;Qb6;1-0
5;d4;1-0
6;cxd4;1-0
7;Qxd4;1-0
8;Qxd4;1-0
9;Nxd4;1-0
10;Nc6;1-0
11;Nb5;1-0
12;Kd8;1-0
13;Be2;1-0
14;g6;1-0
15;Be3;1-0
16;a6;1-0
17;N5a3;1-0
18;Bg7;1-0
19;Nc3;1-0
20;b5;1-0
21;O-O-O;1-0
22;Be5;1-0
23;Nd5;1-0
24;Nd4;1-0
25;Bxd4;1-0
26;Bxd4;1-0
27;Rxd4;1-0
28;Nf6;1-0
29;Nxf6;1-0
30;e6;1-0
31;Rhd1;1-0
32;Ke7;1-0
33;Nxd7;1-0
34;Rd8;1-0
35;Ne5;1-0
36;Rxd4;1-0
37;Rh1;1-0
38;Bb7;1-0
39;Nb1;1-0
40;Bxe4;1-0
41;f3;1-0
42;Bb7;1-0
43;Nd2;1-0
44;Rc8;1-0
45;Nb3;1-0
46;Rh4;1-0
47;Nd3;1-0
48;Bd5;1-0
49;g3;1-0
50;Rh6;1-0
51;Nbc5;1-0
52;a5;1-0
53;Nb3;1-0
54;Bc4;1-0
55;c3;1-0
56;a4;1-0
57;Bd1;1-0
58;axb3;1-0
59;Bxb3;1-0
60;Bxd3;1-0
61;Kd1;1-0
62;Bf5;1-0
63;g4;1-0
64;Bd3;1-0
65;Ke1;1-0
66;g5;1-0
67;Kf2;1-0
68;Rd8;1-0
69;Kg3;1-0
70;f5;1-0
71;Re1;1-0
72;f4+;1-0
73;Kg2;1-0
74;Bc2;1-0
75;Re2;1-0
76;Bd1;1-0
77;Bxd1;1-0
78;Ra8;1-0
79;Bb3;1-0
80;Rd8;1-0
81;a4;1-0
82;Rd2;1-0
83;Rxd2;1-0
84;bxa4;1-0
85;Bxa4;1-0
86;Rh4;1-0
87;Bc6;1-0
88;Rh3;1-0
89;Kxh3;1-0
90;Kf7;1-0
91;Rd7+;1-0
92;Kf6;1-0
93;Be4;1-0
94;e5;1-0
95;Rxh7;1-0
96;Ke6;1-0
97;Rh6+;1-0
98;Kf7;1-0
99;b4;1-0
100;Kg7;1-0
101;Rg6+;1-0
102;Kf8;1-0
103;Bc6;1-0
104;e4;1-0
105;Bxe4;1-0
106;Ke7;1-0
107;Rg7+;1-0
108;Kf6;1-0
109;Rh7;1-0
110;Ke5;1-0
111;Bc2;1-0
112;Kd5;1-0
113;Bd3;1-0
114;Kc6;1-0
115;b5+;1-0
116;Kb6;1-0
117;Re7;1-0
118;Kc5;1-0
119;Re6;1-0
120;Kd5;1-0
121;Rh6;1-0
122;Ke5;1-0
123;Rh8;1-0
124;Kd6;1-0
125;Rh7;1-0
126;Kc5;1-0
127;Rh6;1-0
128;Kd5;1-0
129;Rc6;1-0
130;Ke5;1-0
131;Be2;1-0
132;Kd5;1-0
133;Bc4+;1-0
134;Ke5;1-0
135;Rd6;1-0
136;Kxd6;1-0
137;Kg2;1-0
138;Kc5;1-0
139;Bd3;1-0
140;Kb6;1-0
141;h4;1-0
142;gxh4;1-0
143;g5;1-0
144;h3+;1-0
145;Kxh3;1-0
146;Ka5;1-0
147;g6;1-0
148;Ka4;1-0
149;g7;1-0
150;Kb3;1-0
151;g8=Q+;1-0
152;Kxc3;1-0
153;Qc4+;1-0
154;Kb2;1-0
155;Qb4+;1-0
156;Kc1;1-0
157;Qc3+;1-0
158;Kd1;1-0
159;Qc2+;1-0
160;Ke1;1-0
161;Qe2#;1-0
1;e4;0-1
2;e5;0-1
3;b4;0-1
4;Qf6;0-1
5;Nc3;0-1
6;Nc6;0-1
7;Qg4;0-1
8;Nxb4;0-1
9;Qd1;0-1
10;Bc5;0-1
11;Nf3;0-1
12;Kd8;0-1
13;Na4;0-1
14;Bb6;0-1
15;c3;0-1
16;Nc6;0-1
17;d4;0-1
18;h6;0-1
19;Be2;0-1
20;d6;0-1
21;O-O;0-1
22;Bd7;0-1
23;d5;0-1
24;Nce7;0-1
25;c4;0-1
26;Qxf3;0-1
27;Qd4;0-1
28;Bg4;0-1
29;Qe3;0-1
30;Qxe2;0-1
31;Qb3;0-1
32;Qxe4;0-1
33;Nxb6;0-1
34;axb6;0-1
35;Be3;0-1
36;Be2;0-1
37;Rfc1;0-1
38;Nf6;0-1
39;f3;0-1
40;Qg6;0-1
41;Bxb6;0-1
42;Bd1;0-1
43;Rxd1;0-1
44;Nd7;0-1
45;g3;0-1
46;cxb6;0-1
47;Rac1;0-1
48;Nc8;0-1
49;Qb4;0-1
50;Nc5;0-1
51;Rc3;0-1
52;Rxa2;0-1
53;Ra3;0-1
54;Qc2;0-1
55;Rxa2;0-1
56;Qxa2;0-1
57;g4;0-1
58;Re8;0-1
59;Qc3;0-1
60;Qb3;0-1
61;h3;0-1
62;Qxc3;0-1
63;Rd4;0-1
64;exd4;0-1
65;Kg2;0-1
66;Qd2+;0-1
67;Kg3;0-1
68;Qe1+;0-1
69;Kh2;0-1
70;Re2#;0-1
1;a3;1-0
2;e5;1-0
3;c4;1-0
4;Ne7;1-0
5;Nf3;1-0
6;Nbc6;1-0
7;e3;1-0
8;d5;1-0
9;g4;1-0
10;Bxg4;1-0
11;Rg1;1-0
12;f5;1-0
13;cxd5;1-0
14;Nxd5;1-0
15;d3;1-0
16;g6;1-0
17;Nc3;1-0
18;Qd7;1-0
19;Bd2;1-0
20;O-O-O;1-0
21;a4;1-0
22;Ndb4;1-0
23;Rxg4;1-0
24;b6;1-0
25;Rc4;1-0
26;Bc5;1-0
27;h4;1-0
28;Nxd3+;1-0
29;Bxd3;1-0
30;Be7;1-0
31;Ra3;1-0
32;e4;1-0
33;h5;1-0
34;Qe8;1-0
35;Rxc6;1-0
36;Bc5;1-0
37;Ba6+;1-0
38;Kb8;1-0
39;Rxc5;1-0
40;gxh5;1-0
41;Rxf5;1-0
42;Rg8;1-0
43;Rg5;1-0
44;Ka8;1-0
45;Rxg8;1-0
46;Qxg8;1-0
47;Qc2;1-0
48;Re8;1-0
49;Nxe4;1-0
50;c5;1-0
51;Qxc5;1-0
52;bxc5;1-0
53;Kd1;1-0
54;Rxe4;1-0
55;Bb5;1-0
56;Kb7;1-0
57;Rc3;1-0
58;h4;1-0
59;Ke2;1-0
60;c4;1-0
61;b3;1-0
62;h3;1-0
63;Bxc4;1-0
64;Kb6;1-0
65;Ba6;1-0
66;Kxa6;1-0
67;Rc6+;1-0
68;Kb7;1-0
69;Rh6;1-0
70;Re7;1-0
71;Kd3;1-0
72;Qc4+;1-0
73;bxc4;1-0
74;Rd7+;1-0
75;Nd4;1-0
76;Kc8;1-0
77;Rxh3;1-0
78;Re7;1-0
79;f3;1-0
80;Rg7;1-0
81;Rh1;1-0
82;Rc7;1-0
83;Rh2;1-0
84;Rxc4;1-0
85;Kxc4;1-0
86;h6;1-0
87;Bb4;1-0
88;a6;1-0
89;Rxh6;1-0
90;a5;1-0
91;Nc2;1-0
92;axb4;1-0
93;Nxb4;1-0
94;Kd7;1-0
95;Rf6;1-0
96;Ke8;1-0
97;Nd5;1-0
98;Kd7;1-0
99;Kb5;1-0
100;Kc8;1-0
101;Kc6;1-0
102;Kb8;1-0
103;Rf8+;1-0
104;Ka7;1-0
105;Rd8;1-0
106;Ka6;1-0
107;Rb8;1-0
108;Ka7;1-0
109;Rd8;1-0
110;Ka6;1-0
111;f4;1-0
112;Ka7;1-0
113;Nb6;1-0
114;Ka6;1-0
115;Ra8#;1-0
1;e4;1/2-1/2
2;a6;1/2-1/2
3;d4;1/2-1/2
4;e6;1/2-1/2
5;Bd3;1/2-1/2
6;d5;1/2-1/2
7;Be2;1/2-1/2
8;dxe4;1/2-1/2
9;c3;1/2-1/2
10;Nf6;1/2-1/2
11;Nd2;1/2-1/2
12;c5;1/2-1/2
13;Ngf3;1/2-1/2
14;exf3;1/2-1/2
15;Bxf3;1/2-1/2
16;cxd4;1/2-1/2
17;Nc4;1/2-1/2
18;Ng4;1/2-1/2
19;Bxg4;1/2-1/2
20;Qe7;1/2-1/2
21;Nb6;1/2-1/2
22;h5;1/2-1/2
23;Bf3;1/2-1/2
24;Nc6;1/2-1/2
25;Bg4;1/2-1/2
26;Rb8;1/2-1/2
27;Bf3;1/2-1/2
28;Qc7;1/2-1/2
29;Nxc8;1/2-1/2
30;Qb6;1/2-1/2
31;Nxb6;1/2-1/2
32;Be7;1/2-1/2
33;cxd4;1/2-1/2
34;h4;1/2-1/2
35;h3;1/2-1/2
36;O-O;1/2-1/2
37;Be3;1/2-1/2
38;Rbd8;1/2-1/2
39;Bxc6;1/2-1/2
40;bxc6;1/2-1/2
41;O-O;1/2-1/2
42;f5;1/2-1/2
43;Qd2;1/2-1/2
44;e5;1/2-1/2
45;Nc4;1/2-1/2
46;f4;1/2-1/2
47;Nxe5;1/2-1/2
48;c5;1/2-1/2
49;Nf7;1/2-1/2
50;Rxf7;1/2-1/2
51;Bxf4;1/2-1/2
52;Rdf8;1/2-1/2
53;dxc5;1/2-1/2
54;Rxf4;1/2-1/2
55;Rac1;1/2-1/2
56;R4f7;1/2-1/2
57;Kh1;1/2-1/2
58;Bd8;1/2-1/2
59;Qc2;1/2-1/2
60;Bc7;1/2-1/2
61;Rcd1;1/2-1/2
62;a5;1/2-1/2
63;Qc4;1/2-1/2
64;Kh7;1/2-1/2
65;Qxh4+;1/2-1/2
66;Kg8;1/2-1/2
67;Qc4;1/2-1/2
68;Kh8;1/2-1/2
69;Qh4+;1/2-1/2
70;Kg8;1/2-1/2
71;Rd6;1/2-1/2
72;Rf4;1/2-1/2
73;Qe7;1/2-1/2
74;Bxd6;1/2-1/2
75;cxd6;1/2-1/2
76;R8f5;1/2-1/2
77;Qe4;1/2-1/2
78;Rxe4;1/2-1/2
79;Rd1;1/2-1/2
80;Re8;1/2-1/2
81;f3;1/2-1/2
82;Rd8;1/2-1/2
83;a3;1/2-1/2
84;Rb5;1/2-1/2
85;b4;1/2-1/2
86;Rb6;1/2-1/2
87;Rd5;1/2-1/2
88;Ra6;1/2-1/2
89;bxa5;1/2-1/2
90;Rdxd6;1/2-1/2
91;Rb5;1/2-1/2
92;Rd2;1/2-1/2
93;a4;1/2-1/2
94;Kh7;1/2-1/2
95;Rb4;1/2-1/2
96;Ra8;1/2-1/2
97;Kh2;1/2-1/2
98;Ra6;1/2-1/2
99;Rb6;1/2-1/2
100;Rxa5;1/2-1/2
101;h4;1/2-1/2
102;Rc5;1/2-1/2
103;Kh3;1/2-1/2
104;Rcc2;1/2-1/2
105;Rb7;1/2-1/2
106;Rxg2;1/2-1/2
107;Rb8;1/2-1/2
108;Rc7;1/2-1/2
109;Kxg2;1/2-1/2
110;Rc4;1/2-1/2
111;Ra8;1/2-1/2
112;Rxh4;1/2-1/2
113;Kg3;1/2-1/2
114;Rxa4;1/2-1/2
115;Rxa4;1/2-1/2
116;Kg6;1/2-1/2
117;Kg4;1/2-1/2
118;Kh6;1/2-1/2
119;Ra6+;1/2-1/2
120;g6;1/2-1/2
121;Rf6;1/2-1/2
122;Kh7;1/2-1/2
123;f4;1/2-1/2
124;Kh6;1/2-1/2
125;f5;1/2-1/2
126;Kh7;1/2-1/2
127;Kg5;1/2-1/2
128;Kh8;1/2-1/2
129;Kh6;1/2-1/2
130;Kg8;1/2-1/2
131;Rf8+;1/2-1/2
132;Kxf8;1/2-1/2
133;fxg6;1/2-1/2
134;Ke7;1/2-1/2
