Datetime,price,volume,ma_short,ma_long,rsi,trad_signal,trad_signal_trend,amplitude,time_comp,fft_period,resonance_score,use_grid,direction_hint,res_signal
2024-08-05 13:00:00+00:00,51981.109375,7753318400,55305.755696614586,62893.986723400296,26.73636083962984,hold,hold,13717.671875,4.098765432098766,336.0,3.8067316688932427,True,-1.0,buy
2024-08-05 14:00:00+00:00,54065.2578125,5896757248,55073.470703125,62809.96881975447,42.506087999809935,hold,sell,13717.671875,4.1,336.0,4.007551552647837,True,-1.0,buy
2024-08-05 15:00:00+00:00,54280.30078125,2556493824,54878.10888671875,62727.71995907738,48.29113673180428,hold,sell,13433.08203125,4.1,336.0,3.915667338979054,True,-1.0,buy
2024-08-05 16:00:00+00:00,54134.64453125,2056609792,54690.651041666664,62651.515229724704,47.84631237186179,hold,sell,13207.15625,4.098765432098766,336.0,3.8534916422217584,True,-1.0,buy
2024-08-05 17:00:00+00:00,54733.25390625,0,54560.17919921875,62578.35198102678,52.78928447011869,hold,sell,13010.90625,4.098765432098766,336.0,3.831525350543631,True,-1.0,buy
2024-08-05 18:00:00+00:00,53258.2421875,0,54332.965983072914,62494.244466145836,48.642970091999516,hold,sell,12788.96875,4.061728395061729,336.0,3.909237215517175,True,-1.0,buy
2024-08-05 19:00:00+00:00,53406.13671875,1218953216,54086.796875,62411.71384393601,52.62171391716194,hold,sell,12743.2578125,4.061728395061729,336.0,3.899005831787085,True,-1.0,buy
2024-08-05 20:00:00+00:00,54140.92578125,1333346304,53878.10498046875,62332.97219122024,61.268403319781704,hold,sell,12190.53515625,4.061728395061729,336.0,3.771532316393966,True,-1.0,buy
2024-08-05 21:00:00+00:00,54441.421875,850198528,53710.5634765625,62255.29571242559,57.79042707853884,hold,sell,12121.875,4.061728395061729,336.0,3.750737064726355,True,-1.0,buy
2024-08-05 22:00:00+00:00,54640.80078125,319922176,53543.028483072914,62180.536342075895,58.47559318166774,hold,sell,12121.875,4.061728395061729,336.0,3.6967382864146807,True,-1.0,buy
2024-08-05 23:00:00+00:00,54017.7890625,0,53373.609700520836,62104.35884021578,56.87428255193707,hold,sell,12121.875,4.098765432098766,336.0,3.6254650921076648,True,-1.0,buy
2024-08-06 00:00:00+00:00,55851.69140625,0,53365.902180989586,62040.71600632441,68.44276845304974,hold,sell,12121.875,4.098765432098766,336.0,3.7976480631121143,True,-1.0,buy
2024-08-06 01:00:00+00:00,55819.41015625,0,53412.910319010414,61979.002162388395,68.08233573311652,hold,sell,12121.875,4.074074074074074,336.0,3.731261270787113,True,-1.0,buy
2024-08-06 02:00:00+00:00,55910.17578125,0,53465.111979166664,61916.606119791664,78.56824679956051,hold,sell,12121.875,4.074074074074074,336.0,3.5363019702932936,True,-1.0,buy
2024-08-06 03:00:00+00:00,55693.62109375,0,53533.328125,61851.72472563244,71.342301682722,hold,sell,12121.875,4.048780487804878,336.0,3.3570577608139636,True,-1.0,buy
2024-08-06 04:00:00+00:00,55515.16796875,0,53612.47705078125,61785.24428013393,60.67390075302825,hold,sell,12121.875,4.048780487804878,336.0,3.1390232612572433,True,-1.0,buy
2024-08-06 05:00:00+00:00,55948.40625,0,53745.610026041664,61722.48088727678,61.897968929621626,hold,sell,12121.875,4.061728395061729,336.0,2.934259789684142,True,-1.0,buy
2024-08-06 06:00:00+00:00,55825.83203125,0,53927.50439453125,61657.48384021578,62.102454236742325,hold,sell,12121.875,4.048780487804878,336.0,2.8668211148956955,True,-1.0,buy
2024-08-06 07:00:00+00:00,56125.76171875,0,54068.539713541664,61593.265299479164,60.41005723630416,hold,sell,12121.875,4.048780487804878,336.0,2.870496536362424,True,-1.0,buy
2024-08-06 08:00:00+00:00,55141.87109375,0,54167.775716145836,61524.22514415922,65.19751675572165,hold,sell,12121.875,4.012195121951219,336.0,2.923888966400161,True,-1.0,buy
