,nav
2025-04-18 08:00:00+00:00,10324.092591894847
2025-04-18 09:00:00+00:00,10322.956625531779
2025-04-18 10:00:00+00:00,10322.27369818563
2025-04-18 11:00:00+00:00,10323.95298796221
2025-04-18 12:00:00+00:00,10324.664213402812
2025-04-18 13:00:00+00:00,10322.838716804888
2025-04-18 14:00:00+00:00,10322.733474844086
2025-04-18 15:00:00+00:00,10319.684153037459
2025-04-18 16:00:00+00:00,10321.236370894658
2025-04-18 17:00:00+00:00,10322.83346144449
2025-04-18 18:00:00+00:00,10323.716361991445
2025-04-18 19:00:00+00:00,10322.485933894033
2025-04-18 20:00:00+00:00,10321.849765780149
2025-04-18 21:00:00+00:00,10323.734823129254
2025-04-18 22:00:00+00:00,10322.377727370955
2025-04-18 23:00:00+00:00,10321.097710231834
2025-04-19 00:00:00+00:00,10321.145277981082
2025-04-19 01:00:00+00:00,10322.819447150094
2025-04-19 02:00:00+00:00,10326.421390315552
2025-04-19 03:00:00+00:00,10328.793444394923
2025-04-19 04:00:00+00:00,10330.899496386428
2025-04-19 05:00:00+00:00,10331.945178352908
2025-04-19 06:00:00+00:00,10329.574067543352
2025-04-19 07:00:00+00:00,10334.224252979071
2025-04-19 08:00:00+00:00,10335.856648770556
2025-04-19 09:00:00+00:00,10336.86486945009
2025-04-19 10:00:00+00:00,10334.691306290388
2025-04-19 11:00:00+00:00,10334.458588151714
2025-04-19 12:00:00+00:00,10335.714215028473
2025-04-19 13:00:00+00:00,10338.728231593448
2025-04-19 14:00:00+00:00,10337.258078210165
2025-04-19 15:00:00+00:00,10333.92173287408
2025-04-19 16:00:00+00:00,10327.7984294928
2025-04-19 17:00:00+00:00,10334.353076685251
2025-04-19 18:00:00+00:00,10332.939654243706
2025-04-19 19:00:00+00:00,10332.241230322024
2025-04-19 20:00:00+00:00,10334.186656939299
2025-04-19 21:00:00+00:00,10336.202020275721
2025-04-19 22:00:00+00:00,10334.965663053757
2025-04-19 23:00:00+00:00,10332.378947715031
2025-04-20 00:00:00+00:00,10333.63484409745
2025-04-20 01:00:00+00:00,10335.46155347085
2025-04-20 02:00:00+00:00,10334.593879993768
2025-04-20 03:00:00+00:00,10333.342565207595
2025-04-20 04:00:00+00:00,10333.754774116802
2025-04-20 05:00:00+00:00,10332.38797615469
2025-04-20 06:00:00+00:00,10329.810154502793
2025-04-20 07:00:00+00:00,10327.03599797652
2025-04-20 08:00:00+00:00,10324.556006879733
2025-04-20 09:00:00+00:00,10322.473132375113
2025-04-20 10:00:00+00:00,10316.325842989963
2025-04-20 11:00:00+00:00,10315.666497389193
2025-04-20 12:00:00+00:00,10319.766352264205
2025-04-20 13:00:00+00:00,10319.800309977549
2025-04-20 14:00:00+00:00,10324.400232607408
2025-04-20 15:00:00+00:00,10319.676337373276
2025-04-20 16:00:00+00:00,10323.938973667813
2025-04-20 17:00:00+00:00,10323.290812551993
2025-04-20 18:00:00+00:00,10323.368025924003
2025-04-20 19:00:00+00:00,10324.589156076094
2025-04-20 20:00:00+00:00,10331.53876381542
2025-04-20 21:00:00+00:00,10330.626891409858
2025-04-20 22:00:00+00:00,10327.585789525905
2025-04-20 23:00:00+00:00,10332.897072349195
2025-04-21 00:00:00+00:00,10358.915014154043
2025-04-21 01:00:00+00:00,10370.208244639176
2025-04-21 02:00:00+00:00,10371.449991974368
2025-04-21 03:00:00+00:00,10368.725289736973
2025-04-21 04:00:00+00:00,10370.952619276137
2025-04-21 05:00:00+00:00,10374.562782364272
2025-04-21 06:00:00+00:00,10373.788223093225
2025-04-21 07:00:00+00:00,10372.73769002484
2025-04-21 08:00:00+00:00,10375.49271164915
2025-04-21 09:00:00+00:00,10373.740385838315
2025-04-21 10:00:00+00:00,10371.350544385288
2025-04-21 11:00:00+00:00,10364.648881854508
2025-04-21 12:00:00+00:00,10366.372101053905
2025-04-21 13:00:00+00:00,10366.613308620916
2025-04-21 14:00:00+00:00,10385.379392087105
2025-04-21 15:00:00+00:00,10383.72826565215
2025-04-21 16:00:00+00:00,10366.63837264743
2025-04-21 17:00:00+00:00,10361.75236975793
2025-04-21 18:00:00+00:00,10362.213898203187
2025-04-21 19:00:00+00:00,10371.778384622861
2025-04-21 20:00:00+00:00,10369.608998800912
2025-04-21 21:00:00+00:00,10370.325883860405
2025-04-21 22:00:00+00:00,10367.471279894184
2025-04-21 23:00:00+00:00,10374.177119762717
2025-04-22 00:00:00+00:00,10375.518988451144
2025-04-22 01:00:00+00:00,10389.719511259313
2025-04-22 02:00:00+00:00,10384.966374660913
2025-04-22 03:00:00+00:00,10384.48692408917
2025-04-22 04:00:00+00:00,10383.358773390284
2025-04-22 05:00:00+00:00,10389.03766193581
2025-04-22 06:00:00+00:00,10385.63973455608
2025-04-22 07:00:00+00:00,10390.340587056155
2025-04-22 08:00:00+00:00,10389.352175042737
2025-04-22 09:00:00+00:00,10391.287495197706
2025-04-22 10:00:00+00:00,10391.613192789586
2025-04-22 11:00:00+00:00,10393.141155137251
2025-04-22 12:00:00+00:00,10400.57546880872
2025-04-22 13:00:00+00:00,10418.766427193348
2025-04-22 14:00:00+00:00,10431.441278451972
2025-04-22 15:00:00+00:00,10431.616187626263
2025-04-22 16:00:00+00:00,10429.239282444985
2025-04-22 17:00:00+00:00,10442.700281718098
2025-04-22 18:00:00+00:00,10443.417571036083
2025-04-22 19:00:00+00:00,10441.111006832449
2025-04-22 20:00:00+00:00,10436.731000822347
2025-04-22 21:00:00+00:00,10467.458149802775
2025-04-22 22:00:00+00:00,10465.889492100227
2025-04-22 23:00:00+00:00,10476.956068324069
2025-04-23 00:00:00+00:00,10466.762420937706
2025-04-23 01:00:00+00:00,10462.705147957206
2025-04-23 02:00:00+00:00,10466.940159921442
2025-04-23 03:00:00+00:00,10471.792878861752
2025-04-23 04:00:00+00:00,10480.19013626163
2025-04-23 05:00:00+00:00,10477.2306945931
2025-04-23 06:00:00+00:00,10481.120604557833
2025-04-23 07:00:00+00:00,10484.074251854641
2025-04-23 08:00:00+00:00,10491.156995390731
2025-04-23 09:00:00+00:00,10485.102146447462
2025-04-23 10:00:00+00:00,10481.234874958292
2025-04-23 11:00:00+00:00,10476.255084098602
2025-04-23 12:00:00+00:00,10482.296862017289
2025-04-23 13:00:00+00:00,10469.052949554485
2025-04-23 14:00:00+00:00,10467.895826996992
2025-04-23 15:00:00+00:00,10470.299278485922
2025-04-23 16:00:00+00:00,10480.187306452184
2025-04-23 17:00:00+00:00,10484.620135571935
2025-04-23 18:00:00+00:00,10480.817006430194
2025-04-23 19:00:00+00:00,10479.123163347896
2025-04-23 20:00:00+00:00,10481.629026988183
2025-04-23 21:00:00+00:00,10476.000805507012
2025-04-23 22:00:00+00:00,10482.274358294557
2025-04-23 23:00:00+00:00,10480.1623771785
2025-04-24 00:00:00+00:00,10475.77752006649
2025-04-24 01:00:00+00:00,10479.412747181139
2025-04-24 02:00:00+00:00,10471.003362026495
2025-04-24 03:00:00+00:00,10463.740453955717
2025-04-24 04:00:00+00:00,10464.67267403872
2025-04-24 05:00:00+00:00,10461.878035082174
2025-04-24 06:00:00+00:00,10457.574164421434
2025-04-24 07:00:00+00:00,10455.138102747467
2025-04-24 08:00:00+00:00,10451.791516196245
2025-04-24 09:00:00+00:00,10459.470945266814
2025-04-24 10:00:00+00:00,10462.351287023705
2025-04-24 11:00:00+00:00,10461.920077965364
2025-04-24 12:00:00+00:00,10464.489005930433
2025-04-24 13:00:00+00:00,10463.73344680852
2025-04-24 14:00:00+00:00,10470.338895818157
2025-04-24 15:00:00+00:00,10473.531998895176
2025-04-24 16:00:00+00:00,10477.308985987755
2025-04-24 17:00:00+00:00,10469.04270833935
2025-04-24 18:00:00+00:00,10475.805952913774
2025-04-24 19:00:00+00:00,10480.411535162522
2025-04-24 20:00:00+00:00,10477.310737774555
2025-04-24 21:00:00+00:00,10475.273409726722
2025-04-24 22:00:00+00:00,10476.482277371217
2025-04-24 23:00:00+00:00,10484.37070808225
2025-04-25 00:00:00+00:00,10484.701661034527
2025-04-25 01:00:00+00:00,10480.716615571298
2025-04-25 02:00:00+00:00,10468.858096961247
2025-04-25 03:00:00+00:00,10474.076535084163
2025-04-25 04:00:00+00:00,10470.6819765252
2025-04-25 05:00:00+00:00,10473.176925186199
2025-04-25 06:00:00+00:00,10478.707181359427
2025-04-25 07:00:00+00:00,10482.463686021736
2025-04-25 08:00:00+00:00,10481.146477101332
2025-04-25 09:00:00+00:00,10483.29874931378
2025-04-25 10:00:00+00:00,10480.310874797966
2025-04-25 11:00:00+00:00,10496.626073778807
2025-04-25 12:00:00+00:00,10494.552497219507
2025-04-25 13:00:00+00:00,10494.534979351512
2025-04-25 14:00:00+00:00,10512.20457903404
2025-04-25 15:00:00+00:00,10506.000154448659
2025-04-25 16:00:00+00:00,10508.228427257638
2025-04-25 17:00:00+00:00,10495.745194524314
2025-04-25 18:00:00+00:00,10503.642923180669
2025-04-25 19:00:00+00:00,10508.384605788457
2025-04-25 20:00:00+00:00,10502.671894282415
2025-04-25 21:00:00+00:00,10495.811088658542
2025-04-25 22:00:00+00:00,10501.696014282257
2025-04-25 23:00:00+00:00,10498.670004715346
2025-04-26 00:00:00+00:00,10502.209826825838
2025-04-26 01:00:00+00:00,10504.216700733925
2025-04-26 02:00:00+00:00,10504.779024296568
2025-04-26 03:00:00+00:00,10499.55277050947
2025-04-26 04:00:00+00:00,10495.85663511533
2025-04-26 05:00:00+00:00,10497.91565836891
2025-04-26 06:00:00+00:00,10497.776997706087
2025-04-26 07:00:00+00:00,10497.75166417391
2025-04-26 08:00:00+00:00,10492.498594573495
2025-04-26 09:00:00+00:00,10490.995831005175
2025-04-26 10:00:00+00:00,10490.797070579845
2025-04-26 11:00:00+00:00,10489.336215141884
2025-04-26 12:00:00+00:00,10490.810276357257
2025-04-26 13:00:00+00:00,10487.23056740887
2025-04-26 14:00:00+00:00,10490.863638478228
2025-04-26 15:00:00+00:00,10493.170741693186
2025-04-26 16:00:00+00:00,10491.563005669725
2025-04-26 17:00:00+00:00,10491.984377771423
2025-04-26 18:00:00+00:00,10489.515975418079
2025-04-26 19:00:00+00:00,10490.740204885276
2025-04-26 20:00:00+00:00,10489.420031402598
2025-04-26 21:00:00+00:00,10492.352657257812
