chain,result,count
w:Rc5|b:Ne6,draw,1
b:Ne6|w:Rca5,draw,1
w:Rca5|b:Kb6,draw,1
b:Kb6|w:Rc5,draw,2
w:Rc5|b:Nxc5,draw,1
b:Nxc5|w:Ke1,draw,1
w:Ke1|b:Nb7,draw,1
b:Nb7|w:Ra3,draw,1
w:Ra3|b:Nd6,draw,1
b:Nd6|w:Rd3,draw,1
w:Rd3|b:Ka5,draw,2
b:Ka5|w:Kf2,draw,1
w:Kf2|b:Nh1+,draw,1
b:Nh1+|w:Kf1,draw,1
w:Kf1|b:Kb5,draw,1
b:Kb5|w:Rxd6,draw,1
w:Rxd6|b:Kb4,draw,1
b:Kb4|w:Rb6+,draw,1
w:Rb6+|b:Kc5,draw,1
b:Kc5|w:Rb2,draw,1
w:Rb2|b:Kc4,draw,1
b:Kc4|w:Rg2,draw,1
w:Rg2|b:Kc3,draw,1
b:Kc3|w:Rg4,draw,1
w:Rg4|b:Kb2,draw,1
b:Kb2|w:Rg1,draw,1
w:Rg1|b:Ng3+,draw,1
b:Ng3+|w:Kf2,draw,1
w:Kf2|b:Kc3,draw,1
b:Kc3|w:Rxg3+,draw,1
w:Rxg3+|b:Kc4,draw,1
b:Kc4|w:Kg1,draw,1
w:Kg1|b:Kb4,draw,1
b:Kb4|w:Rg5,draw,1
w:Rg5|b:Kc4,draw,1
b:Kc4|w:Rg3,draw,1
w:Rg3|b:Kd5,draw,1
b:Kd5|w:Rh3,draw,1
w:Rh3|b:Kd6,draw,1
b:Kd6|w:Kh2,draw,1
w:Kh2|b:Kd7,draw,1
b:Kd7|w:Rh7+,draw,1
w:Rh7+|b:Kd6,draw,1
b:Kd6|w:Rb7,draw,1
w:Rb7|b:Kc6,draw,1
b:Kc6|w:Rb8,draw,1
w:Rb8|b:Kc5,draw,1
b:Kc5|w:Rb7,draw,1
w:Rb7|b:Kd4,draw,1
b:Kd4|w:Kg1,draw,1
w:Kg1|b:Kd3,draw,1
b:Kd3|w:Rg7,draw,1
w:Rg7|b:Kc3,draw,1
b:Kc3|w:Kh2,draw,1
w:Kh2|b:Kd2,draw,1
b:Kd2|w:Rg3,draw,1
w:Rg3|b:Ke1,draw,1
b:Ke1|w:Rb3,draw,1
w:Rb3|b:Kf1,draw,1
b:Kf1|w:Ra3,draw,1
w:Ra3|b:Ke2,draw,1
b:Ke2|w:Kg1,draw,1
