sequence;count;avg_score
f5 Nc5 Kf7 Ne5+ Ke8 Nexd7 Nxd7 Nxe6 Rb8 cxb5;1;10.0
Nc5 Kf7 Ne5+ Ke8 Nexd7 Nxd7 Nxe6 Rb8 cxb5 Ne7;1;10.0
Kf7 Ne5+ Ke8 Nexd7 Nxd7 Nxe6 Rb8 cxb5 Ne7 dxe7;1;10.0
Ne5+ Ke8 Nexd7 Nxd7 Nxe6 Rb8 cxb5 Ne7 dxe7 Rh6;1;10.0
Ke8 Nexd7 Nxd7 Nxe6 Rb8 cxb5 Ne7 dxe7 Rh6 Bxh6;1;10.0
Nexd7 Nxd7 Nxe6 Rb8 cxb5 Ne7 dxe7 Rh6 Bxh6 g6;1;10.0
Nxd7 Nxe6 Rb8 cxb5 Ne7 dxe7 Rh6 Bxh6 g6 exf8=Q+;1;10.0
Nxe6 Rb8 cxb5 Ne7 dxe7 Rh6 Bxh6 g6 exf8=Q+ Nxf8;1;10.0
Rb8 cxb5 Ne7 dxe7 Rh6 Bxh6 g6 exf8=Q+ Nxf8 Nxf8;1;10.0
cxb5 Ne7 dxe7 Rh6 Bxh6 g6 exf8=Q+ Nxf8 Nxf8 Ra8;1;10.0
Ne7 dxe7 Rh6 Bxh6 g6 exf8=Q+ Nxf8 Nxf8 Ra8 Qe2+;1;10.0
dxe7 Rh6 Bxh6 g6 exf8=Q+ Nxf8 Nxf8 Ra8 Qe2+ Kf7;1;10.0
Rh6 Bxh6 g6 exf8=Q+ Nxf8 Nxf8 Ra8 Qe2+ Kf7 Qe6#;1;10.0
Nc3 d5 Nxd5 h5 Nxe7 h4 Nxg8 Rh6 Nxh6 g5;1;10.0
d5 Nxd5 h5 Nxe7 h4 Nxg8 Rh6 Nxh6 g5 Nxf7;1;10.0
Nxd5 h5 Nxe7 h4 Nxg8 Rh6 Nxh6 g5 Nxf7 Kd7;1;10.0
h5 Nxe7 h4 Nxg8 Rh6 Nxh6 g5 Nxf7 Kd7 Nxd8;1;10.0
Nxe7 h4 Nxg8 Rh6 Nxh6 g5 Nxf7 Kd7 Nxd8 Be7;1;10.0
h4 Nxg8 Rh6 Nxh6 g5 Nxf7 Kd7 Nxd8 Be7 Nxb7;1;10.0
Nxg8 Rh6 Nxh6 g5 Nxf7 Kd7 Nxd8 Be7 Nxb7 c5;1;10.0
Rh6 Nxh6 g5 Nxf7 Kd7 Nxd8 Be7 Nxb7 c5 Na5;1;10.0
Nxh6 g5 Nxf7 Kd7 Nxd8 Be7 Nxb7 c5 Na5 a6;1;10.0
g5 Nxf7 Kd7 Nxd8 Be7 Nxb7 c5 Na5 a6 Nc4;1;10.0
Nxf7 Kd7 Nxd8 Be7 Nxb7 c5 Na5 a6 Nc4 a5;1;10.0
Kd7 Nxd8 Be7 Nxb7 c5 Na5 a6 Nc4 a5 Nxa5;1;10.0
Nxd8 Be7 Nxb7 c5 Na5 a6 Nc4 a5 Nxa5 Bb7;1;10.0
Be7 Nxb7 c5 Na5 a6 Nc4 a5 Nxa5 Bb7 Nxb7;1;10.0
Nxb7 c5 Na5 a6 Nc4 a5 Nxa5 Bb7 Nxb7 Ra6;1;10.0
c5 Na5 a6 Nc4 a5 Nxa5 Bb7 Nxb7 Ra6 Nd8;1;10.0
Na5 a6 Nc4 a5 Nxa5 Bb7 Nxb7 Ra6 Nd8 Bd6;1;10.0
a6 Nc4 a5 Nxa5 Bb7 Nxb7 Ra6 Nd8 Bd6 Nc6;1;10.0
Nc4 a5 Nxa5 Bb7 Nxb7 Ra6 Nd8 Bd6 Nc6 Bf4;1;10.0
a5 Nxa5 Bb7 Nxb7 Ra6 Nd8 Bd6 Nc6 Bf4 Nxb8+;1;10.0
