M,freq_eps_1,freq_eps_0.5,freq_eps_0.6666666666666666,freq_eps_0.75,freq_eps_1.25
15.7675,1.2135769842575183e+24,2.4271539685150366e+24,1.8203654763862775e+24,1.6181026456766913e+24,9.708615874060147e+23
57.9059,4.456842713982396e+24,8.913685427964792e+24,6.685264070973594e+24,5.942456951976528e+24,3.565474171185917e+24
91.2461,7.022937489345802e+24,1.4045874978691604e+25,1.0534406234018703e+25,9.36391665246107e+24,5.618349991476642e+24
33.3628,2.5678342292935935e+24,5.135668458587187e+24,3.85175134394039e+24,3.423778972391458e+24,2.0542673834348745e+24
19.6388,1.5115392851394672e+24,3.0230785702789344e+24,2.267308927709201e+24,2.01538571351929e+24,1.2092314281115737e+24
27.659,2.128829922789199e+24,4.257659845578398e+24,3.193244884183799e+24,2.838439897052266e+24,1.7030639382313592e+24
52.3106,4.02618932568266e+24,8.05237865136532e+24,6.03928398852399e+24,5.368252434243547e+24,3.2209514605461277e+24
3.32684,2.5605685456206006e+23,5.121137091241201e+23,3.840852818430901e+23,3.414091394160801e+23,2.0484548364964804e+23
9.65592,7.431870793614623e+23,1.4863741587229245e+24,1.1147806190421934e+24,9.909161058152831e+23,5.9454966348916975e+23
86.9987,6.696027904253975e+24,1.339205580850795e+25,1.0044041856380964e+25,8.928037205671968e+24,5.35682232340318e+24
42.3804,3.261891740835727e+24,6.523783481671454e+24,4.892837611253591e+24,4.34918898778097e+24,2.6095133926685815e+24
21.0515,1.6202705491737528e+24,3.2405410983475056e+24,2.430405823760629e+24,2.1603607322316705e+24,1.2962164393390022e+24
31.0708,2.3914258926569525e+24,4.782851785313905e+24,3.587138838985429e+24,3.188567856875937e+24,1.913140714125562e+24
51.2087,3.9413794015378453e+24,7.882758803075691e+24,5.912069102306768e+24,5.255172535383794e+24,3.153103521230276e+24
22.4607,1.7287324287498233e+24,3.4574648574996467e+24,2.5930986431247354e+24,2.3049765716664315e+24,1.3829859429998586e+24
20.2156,1.5559338438532605e+24,3.111867687706521e+24,2.333900765779891e+24,2.0745784584710144e+24,1.2447470750826085e+24
23.4554,1.8052914917744597e+24,3.6105829835489194e+24,2.70793723766169e+24,2.4070553223659466e+24,1.4442331934195678e+24
36.3074,2.7944712223390786e+24,5.588942444678157e+24,4.191706833508618e+24,3.7259616297854385e+24,2.2355769778712627e+24
22.3592,1.7209202794615953e+24,3.4418405589231906e+24,2.581380419192393e+24,2.2945603726154606e+24,1.376736223569276e+24
14.503,1.1162522278539267e+24,2.2325044557078533e+24,1.6743783417808901e+24,1.4883363038052356e+24,8.930017822831413e+23
26.434,2.0345453624140314e+24,4.0690907248280627e+24,3.0518180436210473e+24,2.7127271498853755e+24,1.627636289931225e+24
5.30831,4.0856463239600616e+23,8.171292647920123e+23,6.128469485940092e+23,5.447528431946749e+23,3.268517059168049e+23
65.209,5.018940324493325e+24,1.003788064898665e+25,7.528410486739989e+24,6.691920432657768e+24,4.01515225959466e+24
25.6849,1.9768893916572654e+24,3.953778783314531e+24,2.9653340874858984e+24,2.6358525222096876e+24,1.581511513325812e+24
7.24907,5.579390841459742e+23,1.1158781682919484e+24,8.369086262189613e+23,7.43918778861299e+23,4.4635126731677934e+23
88.6135,6.820314196575462e+24,1.3640628393150924e+25,1.0230471294863194e+25,9.093752262100617e+24,5.456251357260369e+24
16.1342,1.2418007787796195e+24,2.483601557559239e+24,1.8627011681694295e+24,1.6557343717061596e+24,9.934406230236956e+23
25.768,1.9832853483651645e+24,3.966570696730329e+24,2.974928022547747e+24,2.6443804644868864e+24,1.5866282786921316e+24
14.013,1.0785384037038595e+24,2.157076807407719e+24,1.6178076055557893e+24,1.4380512049384794e+24,8.628307229630875e+23
23.6853,1.8229862023297667e+24,3.6459724046595335e+24,2.7344793034946506e+24,2.4306482697730225e+24,1.4583889618638133e+24
7.44615,5.7310773815310734e+23,1.1462154763062147e+24,8.596616072296611e+23,7.641436508708099e+23,4.5848619052248583e+23
26.4427,2.035214975210165e+24,4.07042995042033e+24,3.052822462815248e+24,2.713619966946887e+24,1.628171980168132e+24
55.8474,4.2984061690580834e+24,8.596812338116167e+24,6.447609253587125e+24,5.731208225410779e+24,3.4387249352464667e+24
16.5406,1.273080162727757e+24,2.546160325455514e+24,1.9096202440916358e+24,1.697440216970343e+24,1.0184641301822056e+24
60.9189,4.6887442490112783e+24,9.377488498022557e+24,7.033116373516919e+24,6.251658998681705e+24,3.7509953992090225e+24
95.9154,7.382319446700717e+24,1.4764638893401435e+25,1.1073479170051078e+25,9.843092595600959e+24,5.905855557360574e+24
2.85035,2.193828544207019e+23,4.387657088414038e+23,3.290742816310529e+23,2.925104725609359e+23,1.755062835365615e+23
